seqnames start end CI.start CI.end genoT filenames
chr7 78631965 78656141 75747592 78950104 cc-wc ERR2268519_.trimmed.mdup.bam.RData.5
chr8 88819303 88869673 88051852 90020807 wc-ww ERR2268519_.trimmed.mdup.bam.RData.6
chr20 49306887 49760214 49044409 50321462 wc-cc ERR2268519_.trimmed.mdup.bam.RData.7
chr5 50049968 50183149 46082748 50624067 wc-ww ERR2268520_.trimmed.mdup.bam.RData.1
chr5 107344570 107582026 106967404 108757974 ww-wc ERR2268520_.trimmed.mdup.bam.RData.2
chr10 121750749 121844082 121049611 123248442 wc-cc ERR2268520_.trimmed.mdup.bam.RData.3
chr11 65120531 65302178 65010749 66326367 ww-wc ERR2268520_.trimmed.mdup.bam.RData.4
chr3 179646636 179692149 178124552 180507639 wc-ww ERR2268521_.trimmed.mdup.bam.RData.1
chr6 136921033 137586931 136202493 138251969 wc-ww ERR2268521_.trimmed.mdup.bam.RData.2
chr12 22917036 28016247 20307289 28498295 wc-cc ERR2268521_.trimmed.mdup.bam.RData.3
chr15 39709829 39786936 31569511 41701436 ww-wc ERR2268521_.trimmed.mdup.bam.RData.4
chr20 14701963 15168947 12644838 16146470 wc-ww ERR2268521_.trimmed.mdup.bam.RData.5
chr3 19165632 19225334 6998670 19747925 ww-wc ERR2268522_.trimmed.mdup.bam.RData.1
chr6 61191424 61417181 58178337 62889287 wc-cc ERR2268522_.trimmed.mdup.bam.RData.2
chr10 25504998 25785497 22649622 26106355 ww-wc ERR2268522_.trimmed.mdup.bam.RData.3
chr1 114865708 122282390 114578851 123510969 ww-wc ERR2268523_.trimmed.mdup.bam.RData.1
chr1 148372462 155104884 146412360 155640650 wc-ww ERR2268523_.trimmed.mdup.bam.RData.2
chr2 56712230 56841452 56328817 57244382 wc-ww ERR2268523_.trimmed.mdup.bam.RData.3
chr3 178315046 178430633 177889764 178580803 wc-cc ERR2268523_.trimmed.mdup.bam.RData.4
chr5 86712645 86896745 86482298 87988490 ww-wc ERR2268523_.trimmed.mdup.bam.RData.5
chr6 93968813 94087757 92765315 94538465 wc-ww ERR2268523_.trimmed.mdup.bam.RData.6
chr8 91346873 91440629 91087987 91793113 wc-cc ERR2268523_.trimmed.mdup.bam.RData.7
chr1 119381260 119684429 119251599 123922280 cc-wc ERR2268524_.trimmed.mdup.bam.RData.1
chr1 152647633 153104593 145793953 153253125 wc-cc ERR2268524_.trimmed.mdup.bam.RData.2
chr1 239377999 239450848 239253340 242900569 cc-wc ERR2268524_.trimmed.mdup.bam.RData.3
chr2 211549274 211771823 210456586 212088557 cc-wc ERR2268524_.trimmed.mdup.bam.RData.4
chr6 124579226 124747214 123927661 125350276 cc-wc ERR2268524_.trimmed.mdup.bam.RData.5
chr1 187906688 188130503 187605798 188371675 wc-cc ERR2268525_.trimmed.mdup.bam.RData.1
chr2 160427206 160495927 160031670 161005160 wc-ww ERR2268525_.trimmed.mdup.bam.RData.2
chr3 90445161 91191983 89017476 93470604 cc-ww ERR2268525_.trimmed.mdup.bam.RData.3
chr3 93470794 99375189 93470644 100921375 ww-cc ERR2268525_.trimmed.mdup.bam.RData.4
chr9 11102037 11122072 10372644 11367459 wc-ww ERR2268525_.trimmed.mdup.bam.RData.5
chr11 97755174 97910354 97194269 98373566 cc-wc ERR2268525_.trimmed.mdup.bam.RData.6
chr12 83808912 84115703 83412485 84398333 cc-wc ERR2268525_.trimmed.mdup.bam.RData.7
chr17 55415031 55637073 55182447 55871023 wc-ww ERR2268525_.trimmed.mdup.bam.RData.8
chr2 128638755 129877494 128162062 131515449 cc-wc ERR2268526_.trimmed.mdup.bam.RData.1
chr2 132589854 133714477 130194589 133943365 wc-cc ERR2268526_.trimmed.mdup.bam.RData.2
chr3 25450620 25495048 24824242 25926470 wc-cc ERR2268526_.trimmed.mdup.bam.RData.3
chr8 76350300 76411200 75415154 77557510 ww-wc ERR2268526_.trimmed.mdup.bam.RData.4
chr11 25266748 25342278 24290904 25840619 wc-ww ERR2268526_.trimmed.mdup.bam.RData.5
chr14 76356833 76580957 75933952 77054467 wc-cc ERR2268526_.trimmed.mdup.bam.RData.6
chr15 90155626 90231672 89466741 91104229 ww-wc ERR2268526_.trimmed.mdup.bam.RData.7
chr2 117509960 117534870 116439895 117708938 cc-wc ERR2268527_.trimmed.mdup.bam.RData.1
chr4 137404835 137751762 136306501 138627349 wc-ww ERR2268527_.trimmed.mdup.bam.RData.2
chr7 21447835 21567588 20910947 21868767 ww-cc ERR2268527_.trimmed.mdup.bam.RData.3
chr8 111678984 111891400 110894358 112423536 wc-cc ERR2268527_.trimmed.mdup.bam.RData.4
chr16 69916534 69966219 69363562 71228997 ww-wc ERR2268527_.trimmed.mdup.bam.RData.5
chr3 156658655 156773051 155695317 157093012 wc-ww ERR2268528_.trimmed.mdup.bam.RData.1
chr6 101061934 101131103 100521994 103020895 wc-ww ERR2268528_.trimmed.mdup.bam.RData.2
chr12 15452635 15474208 15146812 17243828 wc-ww ERR2268528_.trimmed.mdup.bam.RData.3
chr12 22176268 22272655 19263691 23190096 ww-wc ERR2268528_.trimmed.mdup.bam.RData.4
chr14 37099606 37328714 36305489 37694601 cc-wc ERR2268528_.trimmed.mdup.bam.RData.5
chr3 102073483 102654216 100880299 103384234 ww-wc ERR2268529_.trimmed.mdup.bam.RData.1
chr10 89441509 90512416 89123453 91451510 cc-wc ERR2268529_.trimmed.mdup.bam.RData.2
chr2 53737464 54006762 52943664 55434415 ww-wc ERR2268530_.trimmed.mdup.bam.RData
chr2 19972320 20243047 19714742 21581474 cc-wc ERR2268531_.trimmed.mdup.bam.RData.1
chr7 25007216 25380865 7529616 27409286 ww-wc ERR2268531_.trimmed.mdup.bam.RData.2
chr8 125224218 125543381 124147139 135941210 cc-wc ERR2268531_.trimmed.mdup.bam.RData.3
chr14 50727953 50739403 41701266 53246543 cc-wc ERR2268531_.trimmed.mdup.bam.RData.4
chr1 119654721 119886349 119542233 122641016 ww-wc ERR2268532_.trimmed.mdup.bam.RData.1
chr1 149009717 149670939 147902694 150004355 wc-ww ERR2268532_.trimmed.mdup.bam.RData.2
chr8 6670659 6694211 6287193 8127639 wc-cc ERR2268532_.trimmed.mdup.bam.RData.3
chr8 13096098 13101721 11903633 13233219 cc-wc ERR2268532_.trimmed.mdup.bam.RData.4
chr11 100162744 100255373 100010658 100511914 wc-ww ERR2268532_.trimmed.mdup.bam.RData.5
chr12 33703519 33979229 33475699 37261562 cc-wc ERR2268532_.trimmed.mdup.bam.RData.6
chr12 37833005 38262169 35474900 38479907 wc-cc ERR2268532_.trimmed.mdup.bam.RData.7
chr17 37357246 37871782 37226973 38509590 cc-wc ERR2268532_.trimmed.mdup.bam.RData.8
chr18 63233496 63330482 63070831 63447469 ww-wc ERR2268532_.trimmed.mdup.bam.RData.9
chr1 116903688 118142287 116192839 124741473 cc-wc ERR2268533_.trimmed.mdup.bam.RData.1
chr1 149038443 153643635 146047667 154020119 wc-cc ERR2268533_.trimmed.mdup.bam.RData.2
chr2 182048197 182101345 181509537 182637201 wc-ww ERR2268533_.trimmed.mdup.bam.RData.3
chr2 198633698 198648017 198104781 198741656 ww-wc ERR2268533_.trimmed.mdup.bam.RData.4
chr8 15369281 15472500 11843230 15549968 cc-wc ERR2268533_.trimmed.mdup.bam.RData.5
chr9 124885986 124968241 124582724 130422869 cc-wc ERR2268533_.trimmed.mdup.bam.RData.6
chr1 227467206 227744084 227001621 227938471 cc-wc ERR2268534_.trimmed.mdup.bam.RData.1
chr3 15683643 15826843 15113716 16783859 cc-wc ERR2268534_.trimmed.mdup.bam.RData.2
chr9 43132033 62821051 38314647 68344746 ww-wc ERR2268534_.trimmed.mdup.bam.RData.3
chr11 105323170 105585984 104289523 106136278 cc-wc ERR2268534_.trimmed.mdup.bam.RData.4
chr2 64146435 64946090 63574065 65622264 wc-cc ERR2268535_.trimmed.mdup.bam.RData.1
chr6 67240578 67460050 65274492 68173304 wc-ww ERR2268535_.trimmed.mdup.bam.RData.2
chr18 23439787 23789002 10235831 24666046 wc-cc ERR2268535_.trimmed.mdup.bam.RData.3
chr1 149849362 150172349 145881366 151891510 wc-cc ERR2268537_.trimmed.mdup.bam.RData.1
chr10 28457282 46940977 27621574 133549442 cc-wc ERR2268537_.trimmed.mdup.bam.RData.2
chr10 50180099 63613547 127921 64093039 wc-cc ERR2268537_.trimmed.mdup.bam.RData.3
chr13 88887958 89106225 88073923 89957830 ww-wc ERR2268537_.trimmed.mdup.bam.RData.4
chr6 34637693 35114274 13291587 36150477 wc-cc ERR2268538_.trimmed.mdup.bam.RData.1
chr17 42588856 42660226 41128887 44626408 wc-cc ERR2268538_.trimmed.mdup.bam.RData.2
chr2 223361761 223384672 222796644 233429058 wc-ww ERR2268539_.trimmed.mdup.bam.RData.1
chr6 62357225 62441722 58368922 64147754 cc-wc ERR2268539_.trimmed.mdup.bam.RData.2
chr12 118368368 118576224 117375137 124955642 wc-cc ERR2268539_.trimmed.mdup.bam.RData.3
chr1 197424720 197561296 196010780 197814688 ww-wc ERR2268540_.trimmed.mdup.bam.RData.1
chr8 85660210 85895611 85216312 86866640 ww-wc ERR2268540_.trimmed.mdup.bam.RData.2
chr2 129738981 130734684 129203151 131557653 ww-wc ERR2268541_.trimmed.mdup.bam.RData.1
chr2 132270885 134463729 22505 135141666 wc-ww ERR2268541_.trimmed.mdup.bam.RData.2
chr18 62760018 62782675 61697185 70144568 wc-cc ERR2268541_.trimmed.mdup.bam.RData.3
chr1 217404259 217870739 216989752 219310707 ww-wc ERR2268542_.trimmed.mdup.bam.RData.1
chr2 138305925 138718779 137992003 139530758 wc-cc ERR2268542_.trimmed.mdup.bam.RData.2
chr6 64121944 65081992 63700032 65681812 ww-wc ERR2268542_.trimmed.mdup.bam.RData.3
chr21 26869444 26946782 26007959 28863291 wc-cc ERR2268542_.trimmed.mdup.bam.RData.4
chr21 29101260 29157908 28284025 29688402 cc-wc ERR2268542_.trimmed.mdup.bam.RData.5
chr2 35281489 35823650 34039308 36818876 wc-ww ERR2268543_.trimmed.mdup.bam.RData.1
chr4 159205357 159205442 158275770 162118154 wc-ww ERR2268543_.trimmed.mdup.bam.RData.2
chr8 121985259 122384843 121088302 122834623 wc-ww ERR2268543_.trimmed.mdup.bam.RData.3
chr1 165507474 166154019 165069690 166470506 wc-cc ERR2268544_.trimmed.mdup.bam.RData.1
chr2 14206580 14288953 13214726 16004698 wc-cc ERR2268544_.trimmed.mdup.bam.RData.2
chr2 155592220 155795367 154690867 157581087 cc-wc ERR2268544_.trimmed.mdup.bam.RData.3
chr3 80743882 81039818 80230742 81608993 cc-wc ERR2268544_.trimmed.mdup.bam.RData.4
chr11 25460702 25556725 23148194 26068014 wc-cc ERR2268544_.trimmed.mdup.bam.RData.5
chr1 242304254 242331037 241815045 243845079 wc-cc ERR2268545_.trimmed.mdup.bam.RData.1
chr3 84503459 92796185 83095436 93470774 cc-ww ERR2268545_.trimmed.mdup.bam.RData.2
chr3 93470804 98413569 93470549 99619062 ww-cc ERR2268545_.trimmed.mdup.bam.RData.3
chr4 129299574 129326889 127849197 130380945 wc-cc ERR2268545_.trimmed.mdup.bam.RData.4
chr4 137115891 137154461 136497983 137337152 cc-wc ERR2268545_.trimmed.mdup.bam.RData.5
chr7 40553012 40601136 40388727 41067670 wc-cc ERR2268545_.trimmed.mdup.bam.RData.6
chr8 12569685 12576450 11572214 12833090 cc-wc ERR2268545_.trimmed.mdup.bam.RData.7
chr14 88790656 88918220 88382139 89053686 cc-wc ERR2268545_.trimmed.mdup.bam.RData.8
chr20 15067523 15235761 14304563 15455426 wc-cc ERR2268545_.trimmed.mdup.bam.RData.9
chr21 36767710 36779913 35689795 37753769 wc-ww ERR2268545_.trimmed.mdup.bam.RData.10
chr1 40173427 40565183 39517018 41072535 ww-wc ERR2268546_.trimmed.mdup.bam.RData.1
chr11 114487600 114785287 114220344 114868316 ww-wc ERR2268546_.trimmed.mdup.bam.RData.2
chr12 34540951 35115179 34211486 38013279 ww-wc ERR2268546_.trimmed.mdup.bam.RData.3
chr2 40140476 40160021 39586313 41359546 cc-wc ERR2268547_.trimmed.mdup.bam.RData.1
chr4 114764350 115242779 114303955 116217230 cc-wc ERR2268547_.trimmed.mdup.bam.RData.2
chr8 132481766 132527897 131740702 135314104 wc-cc ERR2268547_.trimmed.mdup.bam.RData.3
chr10 80979465 81671767 80578299 82029845 wc-cc ERR2268547_.trimmed.mdup.bam.RData.4
chr7 70975377 71163947 69878977 71602132 wc-ww ERR2268548_.trimmed.mdup.bam.RData.1
chr8 15001616 15588776 10943293 16039765 cc-wc ERR2268548_.trimmed.mdup.bam.RData.2
chrX 131646655 131715952 128238073 155741850 cc-ww ERR2268548_.trimmed.mdup.bam.RData.3
chr4 165491993 165842236 163904293 166492008 ww-wc ERR2268549_.trimmed.mdup.bam.RData.1
chr5 77738388 77898503 76649148 78313631 wc-cc ERR2268549_.trimmed.mdup.bam.RData.2
chr16 16781099 17029014 7385671 18054172 ww-wc ERR2268549_.trimmed.mdup.bam.RData.3
chr8 100821541 100968815 100314999 101478984 wc-cc ERR2268550_.trimmed.mdup.bam.RData
chr1 143251652 145591113 123755633 147766819 wc-cc ERR2268551_.trimmed.mdup.bam.RData.1
chr1 148389251 149969190 147209098 151911753 cc-ww ERR2268551_.trimmed.mdup.bam.RData.2
chr2 126913949 130248396 126723543 131462004 cc-wc ERR2268551_.trimmed.mdup.bam.RData.3
chr2 131497739 137920129 131081461 138122869 wc-cc ERR2268551_.trimmed.mdup.bam.RData.4
chr3 135103439 135201040 134904291 135473358 wc-ww ERR2268551_.trimmed.mdup.bam.RData.5
chr7 142367754 142436867 141975741 142602687 wc-cc ERR2268551_.trimmed.mdup.bam.RData.6
chr8 12336253 12573843 11910232 12732034 ww-wc ERR2268551_.trimmed.mdup.bam.RData.7
chr9 41006112 41802839 40869720 60522593 cc-wc ERR2268551_.trimmed.mdup.bam.RData.8
chr11 101252045 101311485 100692684 101485872 cc-wc ERR2268551_.trimmed.mdup.bam.RData.9
chr17 70353992 70493607 70177502 70858518 wc-ww ERR2268551_.trimmed.mdup.bam.RData.10
chr1 114748742 120454375 114314176 124523290 ww-wc ERR2268552_.trimmed.mdup.bam.RData.1
chr1 150320796 155993892 146016949 156379835 wc-ww ERR2268552_.trimmed.mdup.bam.RData.2
chr2 215104375 215249773 214909974 215965461 wc-cc ERR2268552_.trimmed.mdup.bam.RData.3
chr2 223960315 224322168 223616408 225040214 cc-wc ERR2268552_.trimmed.mdup.bam.RData.4
chr5 133171148 133768961 132725532 134132886 cc-wc ERR2268552_.trimmed.mdup.bam.RData.5
chr8 18057185 18159153 17496451 18555912 cc-wc ERR2268552_.trimmed.mdup.bam.RData.6
chr11 16160438 16440493 15989069 16953126 wc-ww ERR2268552_.trimmed.mdup.bam.RData.7
chr22 36383521 36588598 35583564 36825205 wc-ww ERR2268552_.trimmed.mdup.bam.RData.8
chr1 185681431 185865096 184817263 186488067 wc-ww ERR2268553_.trimmed.mdup.bam.RData.1
chr3 78398086 91649689 78062578 93470643 ww-wc ERR2268553_.trimmed.mdup.bam.RData.2
chr3 93470797 104944449 91525391 105201998 wc-ww ERR2268553_.trimmed.mdup.bam.RData.3
chr5 53794062 54256864 53421532 54502338 ww-wc ERR2268553_.trimmed.mdup.bam.RData.4
chr8 13534645 13884618 11730127 14035898 ww-wc ERR2268553_.trimmed.mdup.bam.RData.5
chr9 66727099 68746531 61610241 69069983 wc-cc ERR2268553_.trimmed.mdup.bam.RData.6
chr2 193561218 193764626 192849301 194438262 ww-wc ERR2268554_.trimmed.mdup.bam.RData.1
chr4 124388705 124651430 122705898 125043276 wc-cc ERR2268554_.trimmed.mdup.bam.RData.2
chr9 87592032 87742689 87153064 89289749 ww-wc ERR2268555_.trimmed.mdup.bam.RData.1
chr10 99584304 99619397 99229934 100328410 cc-wc ERR2268555_.trimmed.mdup.bam.RData.2
chr1 176857576 176868299 175358490 177031435 wc-ww ERR2268556_.trimmed.mdup.bam.RData.1
chr6 14006840 14013758 7477239 14615568 wc-cc ERR2268556_.trimmed.mdup.bam.RData.2
chr10 41750753 41891663 39032787 42484104 cc-wc ERR2268556_.trimmed.mdup.bam.RData.3
chr11 80741427 80943924 80174228 81836586 ww-wc ERR2268556_.trimmed.mdup.bam.RData.4
chr1 229347789 229780823 228961732 230501892 wc-cc ERR2268557_.trimmed.mdup.bam.RData.1
chr4 89756977 89847575 88102114 90662799 wc-cc ERR2268557_.trimmed.mdup.bam.RData.2
chr5 46220555 49622286 45836585 50386540 ww-wc ERR2268557_.trimmed.mdup.bam.RData.3
chr6 129166308 129875210 127684242 130652171 wc-ww ERR2268557_.trimmed.mdup.bam.RData.4
chr1 60778137 62047984 32327534 64417384 cc-wc ERR2268558_.trimmed.mdup.bam.RData.1
chr4 53939805 53991473 17077997 55256907 wc-cc ERR2268558_.trimmed.mdup.bam.RData.2
chr9 35527478 36098790 30447646 39013404 ww-wc ERR2268558_.trimmed.mdup.bam.RData.3
chr1 14115418 14246945 12735106 14674081 wc-cc ERR2268561_.trimmed.mdup.bam.RData.1
chr1 168835877 168968139 167800362 169260048 cc-wc ERR2268561_.trimmed.mdup.bam.RData.2
chr2 89685197 90252883 85885939 94847109 wc-cc ERR2268562_.trimmed.mdup.bam.RData.1
chr2 226459195 226664478 225949723 227615997 cc-wc ERR2268562_.trimmed.mdup.bam.RData.2
chr3 84686252 84870924 83532922 85744860 wc-ww ERR2268562_.trimmed.mdup.bam.RData.3
chr3 85969913 85973434 84852959 89286637 ww-wc ERR2268562_.trimmed.mdup.bam.RData.4
chr3 90132285 90409188 89657028 93963668 wc-ww ERR2268562_.trimmed.mdup.bam.RData.5
chr7 129597808 130648712 128864399 131074746 cc-wc ERR2268562_.trimmed.mdup.bam.RData.6
chr19 24237186 27292138 9467223 27564725 ww-wc ERR2268562_.trimmed.mdup.bam.RData.7
chr3 105727718 105900297 104606850 107233100 ww-wc ERR2268563_.trimmed.mdup.bam.RData.1
chr6 155959028 156083421 155026719 156392387 ww-wc ERR2268563_.trimmed.mdup.bam.RData.2
chr8 114734247 114963101 113940586 116113969 wc-ww ERR2268563_.trimmed.mdup.bam.RData.3
chr1 98108499 99475796 95728136 101039970 ww-wc ERR2268564_.trimmed.mdup.bam.RData.1
chr12 19610190 19719631 18944776 24486371 ww-wc ERR2268564_.trimmed.mdup.bam.RData.2
chr1 105959463 105988855 105227362 106313195 ww-wc ERR2268565_.trimmed.mdup.bam.RData.1
chr2 99639320 100134146 98664575 100545496 wc-cc ERR2268565_.trimmed.mdup.bam.RData.2
chr6 159511148 159922826 159325568 160397122 cc-wc ERR2268565_.trimmed.mdup.bam.RData.3
chr9 73348777 74181227 72296319 75037708 ww-wc ERR2268565_.trimmed.mdup.bam.RData.4
chr11 121267910 121364115 120946983 122148820 ww-wc ERR2268565_.trimmed.mdup.bam.RData.5
chr1 15532589 15566459 7243518 16280417 wc-ww ERR2268566_.trimmed.mdup.bam.RData.1
chr2 81436789 81637827 81148343 83021037 wc-ww ERR2268566_.trimmed.mdup.bam.RData.2
chr3 97198101 97252887 95605243 98015682 cc-wc ERR2268566_.trimmed.mdup.bam.RData.3
chr5 147535982 147863244 146922640 148498002 cc-wc ERR2268566_.trimmed.mdup.bam.RData.4
chr7 98691268 98903768 97284576 99504756 ww-wc ERR2268566_.trimmed.mdup.bam.RData.5
chr2 30094662 30187348 29683790 30607862 wc-ww ERR2268567_.trimmed.mdup.bam.RData
chr1 165000092 165139301 164598907 165349503 wc-ww ERR2268568_.trimmed.mdup.bam.RData.1
chr3 144887459 144926166 144451669 147984113 cc-wc ERR2268568_.trimmed.mdup.bam.RData.2
chr5 130583298 131032385 129797903 131836569 wc-ww ERR2268568_.trimmed.mdup.bam.RData.3
chr13 39528226 40014993 29962601 42240950 cc-wc ERR2268568_.trimmed.mdup.bam.RData.4
chr20 21605567 28833843 21315679 63692254 ww-wc ERR2268568_.trimmed.mdup.bam.RData.5
chr20 30423468 44919377 29782752 45343945 wc-ww ERR2268568_.trimmed.mdup.bam.RData.6
chr2 158834559 158864307 157887293 160350792 wc-ww ERR2268569_.trimmed.mdup.bam.RData.1
