Chromosome	start	end	transition	aneuploidy	index	callType
chr10	112828213	112829802	WC->WW	2	ERR2265693.mdup	filt-walker
chr12	28067657	28082268	WC->WW	2	ERR2265693.mdup	filt-walker
chr14	67531141	67562382	WW->WC	2	ERR2265693.mdup	filt-walker
chr17	29527504	29548558	WC->WW	2	ERR2265693.mdup	filt-walker
chrX	68941413	68947606	CC->WC	2	ERR2265693.mdup	filt-walker
chrX	141464059	141464519	WC->CC	2	ERR2265693.mdup	filt-walker
chr1	169437895	169466217	CC->WC	2	ERR2265694.mdup	filt-walker
chr3	11862125	11901495	WC->CC	2	ERR2265694.mdup	filt-walker
chr3	170093664	170094399	CC->WC	2	ERR2265694.mdup	filt-walker
chr5	35042332	35052770	WC->CC	2	ERR2265694.mdup	filt-walker
chr5	63688115	63705135	CC->WC	2	ERR2265694.mdup	filt-walker
chr6	33249455	33255255	WW->WC	2	ERR2265694.mdup	filt-walker
chr6	72384750	72418398	WC->WW	2	ERR2265694.mdup	filt-walker
chr6	113919285	113970525	WW->WC	2	ERR2265694.mdup	filt-walker
chr7	68566042	68569517	WC->CC	2	ERR2265694.mdup	filt-walker
chr7	105623030	105681749	CC->WC	2	ERR2265694.mdup	filt-walker
chr7	133759397	133783610	WC->CC	2	ERR2265694.mdup	filt-walker
chr8	94319670	94321669	WC->CC	2	ERR2265694.mdup	filt-walker
chr10	50097384	50104466	WC->WW	2	ERR2265694.mdup	filt-walker
chr10	76522838	76546098	WW->WC	2	ERR2265694.mdup	filt-walker
chr11	30140495	30197252	WC->WW	2	ERR2265694.mdup	filt-walker
chr11	105118693	105133746	WW->WC	2	ERR2265694.mdup	filt-walker
chr13	64428364	64428602	WC->CC	2	ERR2265694.mdup	filt-walker
chr14	61193970	61205159	CC->WC	2	ERR2265694.mdup	filt-walker
chr17	67289817	67374870	CC->WC	2	ERR2265694.mdup	filt-walker
chr19	8066462	8077217	WC->CC	2	ERR2265694.mdup	filt-walker
chr19	19098933	19114237	CC->WC	2	ERR2265694.mdup	filt-walker
chrX	55487277	55540940	WC->WW	2	ERR2265694.mdup	filt-walker
chr1	146048823	146049557	WW->WC	2	ERR2265695.mdup	filt-walker
chr1	165490214	165492550	WC->CC	2	ERR2265695.mdup	filt-walker
chr3	52594596	52604246	WC->CC	2	ERR2265695.mdup	filt-walker
chr3	149545405	149551165	CC->WC	2	ERR2265695.mdup	filt-walker
chr3	158112115	158114913	WC->CC	2	ERR2265695.mdup	filt-walker
chr7	47320801	47322924	WC->WW	2	ERR2265695.mdup	filt-walker
chr9	33610913	33619173	WW->WC	2	ERR2265695.mdup	filt-walker
chr10	125002575	125004145	WC->WW	2	ERR2265695.mdup	filt-walker
chr12	24532173	24551079	WW->WC	2	ERR2265695.mdup	filt-walker
chr16	63009776	63014226	CC->WC	2	ERR2265695.mdup	filt-walker
chr17	51319896	51333721	WC->WW	2	ERR2265695.mdup	filt-walker
chr18	10317866	10319503	WC->CC	2	ERR2265695.mdup	filt-walker
chr18	48848631	48856244	CC->WC	2	ERR2265695.mdup	filt-walker
chrX	106139380	106156229	CC->WC	2	ERR2265695.mdup	filt-walker
chr1	65193402	65196131	WC->WW	2	ERR2265696.mdup	filt-walker
chr1	108036657	108036800	WW->WC	2	ERR2265696.mdup	filt-walker
chr1	148400000	149400000	WC->WW	2	ERR2265696.mdup	filt-1000k
chr1	243393864	243406016	WW->WC	2	ERR2265696.mdup	filt-walker
chr2	216830222	216843142	WC->WW	2	ERR2265696.mdup	filt-walker
chr3	21386904	21389202	WC->WW	2	ERR2265696.mdup	filt-walker
chr3	52550527	52581717	WW->WC	2	ERR2265696.mdup	filt-walker
chr3	81098045	81117621	WC->CC	2	ERR2265696.mdup	filt-walker
chr3	113250508	113262424	CC->WC	2	ERR2265696.mdup	filt-walker
chr3	127947398	127956223	WC->CC	2	ERR2265696.mdup	filt-walker
chr3	195496239	195531908	CC->WC	2	ERR2265696.mdup	filt-walker
chr4	34329167	34357476	WC->CC	2	ERR2265696.mdup	filt-walker
chr4	115500708	115519097	CC->WC	2	ERR2265696.mdup	filt-walker
chr5	101946003	101949054	CC->WC	2	ERR2265696.mdup	filt-walker
chr5	119393099	119410269	WC->WW	2	ERR2265696.mdup	filt-walker
chr7	74376805	74400479	WC->CC	2	ERR2265696.mdup	filt-walker
chr11	61464123	61476445	WC->WW	2	ERR2265696.mdup	filt-walker
chr12	21436411	21492184	WC->CC	2	ERR2265696.mdup	filt-walker
chr12	79583817	79615511	CC->WC	2	ERR2265696.mdup	filt-walker
chr12	102700927	102739395	WC->WW	2	ERR2265696.mdup	filt-walker
chr13	67229951	67287757	CC->WC	2	ERR2265696.mdup	filt-walker
chr14	68976572	68984062	WC->CC	2	ERR2265696.mdup	filt-walker
chr15	38157653	38159171	WC->CC	2	ERR2265696.mdup	filt-walker
chr18	29361206	29363728	WC->WW	2	ERR2265696.mdup	filt-walker
chr18	60266418	60282878	WW->WC	2	ERR2265696.mdup	filt-walker
chrX	98181001	98181049	WW->WC	2	ERR2265696.mdup	filt-walker
chrX	143541552	143566598	WC->WW	2	ERR2265696.mdup	filt-walker
chr1	25284586	25348710	CC->WC	2	ERR2265697.mdup	filt-walker
chr1	54002789	54006039	WC->WW	2	ERR2265697.mdup	filt-walker
chr1	93107410	93113401	WW->WC	2	ERR2265697.mdup	filt-walker
chr1	187887191	187889066	WC->WW	2	ERR2265697.mdup	filt-walker
chr3	76212779	76218206	WW->WC	2	ERR2265697.mdup	filt-walker
chr3	178531204	178539952	WC->CC	2	ERR2265697.mdup	filt-walker
chr4	41300179	41305308	WC->WW	2	ERR2265697.mdup	filt-walker
chr5	31315323	31319567	WC->WW	2	ERR2265697.mdup	filt-walker
chr5	61770865	61779142	WW->WC	2	ERR2265697.mdup	filt-walker
chr6	39654007	39654402	WW->WC	2	ERR2265697.mdup	filt-walker
chr6	102401384	102406820	WC->CC	2	ERR2265697.mdup	filt-walker
chr7	23223101	23235505	WC->CC	2	ERR2265697.mdup	filt-walker
chr8	7052024	7053764	WW->WC	2	ERR2265697.mdup	filt-walker
chr9	40194256	40513690	WC->WW	2	ERR2265697.mdup	filt-walker
chr10	49375419	49386235	WC->WW	2	ERR2265697.mdup	filt-walker
chr14	60329728	60335732	WC->CC	2	ERR2265697.mdup	filt-walker
chr16	46401597	46404442	WC->WW	2	ERR2265697.mdup	filt-walker
chr17	38295652	38306245	WW->WC	2	ERR2265697.mdup	filt-walker
chr18	2807382	2836211	WC->WW	2	ERR2265697.mdup	filt-walker
chr18	60481187	60490492	WW->WC	2	ERR2265697.mdup	filt-walker
chr20	4130738	4141786	WC->CC	2	ERR2265697.mdup	filt-walker
chrX	98017804	98047537	WC->WW	2	ERR2265697.mdup	filt-walker
chr1	91710890	91713811	CC->WC	2	ERR2265698.mdup	filt-walker
chr2	100113129	100113605	CC->WC	2	ERR2265698.mdup	filt-walker
chr2	118503381	118523892	WC->WW	2	ERR2265698.mdup	filt-walker
chr2	188506864	188514374	WW->WC	2	ERR2265698.mdup	filt-walker
chr3	103939781	103950379	WW->WC	2	ERR2265698.mdup	filt-walker
chr3	179628005	179634573	WC->WW	2	ERR2265698.mdup	filt-walker
chr4	160247129	160271151	CC->WC	2	ERR2265698.mdup	filt-walker
chr5	68394388	68396274	WC->WW	2	ERR2265698.mdup	filt-walker
chr5	96555067	96582067	WW->WC	2	ERR2265698.mdup	filt-walker
chr5	150555103	150559690	WC->WW	2	ERR2265698.mdup	filt-walker
chr6	25519908	25567887	WC->CC	2	ERR2265698.mdup	filt-walker
chr6	58430269	58449494	CC->WC	2	ERR2265698.mdup	filt-walker
chr6	102953477	102972841	WC->CC	2	ERR2265698.mdup	filt-walker
chr7	109394964	109410494	WC->WW	2	ERR2265698.mdup	filt-walker
chr8	13384153	13389831	WC->CC	2	ERR2265698.mdup	filt-walker
chr8	27785301	27792177	CC->WC	2	ERR2265698.mdup	filt-walker
chr10	61829258	61830426	WW->WC	2	ERR2265698.mdup	filt-walker
chr12	48051265	48061739	CC->WC	2	ERR2265698.mdup	filt-walker
chr12	56318253	56319750	WC->CC	2	ERR2265698.mdup	filt-walker
chr16	22696311	22698804	WC->WW	2	ERR2265698.mdup	filt-walker
chr16	56262840	56267770	WW->WC	2	ERR2265698.mdup	filt-walker
chr18	51596173	51601906	CC->WC	2	ERR2265698.mdup	filt-walker
chr20	43567654	43570312	WC->WW	2	ERR2265698.mdup	filt-walker
chr1	19307719	19308293	WC->CC	2	ERR2265699.mdup	filt-walker
chr1	189987015	189990360	CC->WC	2	ERR2265699.mdup	filt-walker
chr3	136349148	136360561	WW->WC	2	ERR2265699.mdup	filt-walker
chr4	18252107	18272664	CC->WC	2	ERR2265699.mdup	filt-walker
chr5	67489236	67491252	WW->WC	2	ERR2265699.mdup	filt-walker
chr6	16159223	16166305	WC->CC	2	ERR2265699.mdup	filt-walker
chr6	70991111	70994684	CC->WC	2	ERR2265699.mdup	filt-walker
chr6	126066465	126080765	WC->WW	2	ERR2265699.mdup	filt-walker
chr8	37844412	37854578	WC->WW	2	ERR2265699.mdup	filt-walker
chr8	93438481	93438944	WW->WC	2	ERR2265699.mdup	filt-walker
chr9	39557531	39571377	CC->WC	2	ERR2265699.mdup	filt-walker
chr9	109520494	109528470	WC->CC	2	ERR2265699.mdup	filt-walker
chr10	18045599	18045853	CC->WC	2	ERR2265699.mdup	filt-walker
chr14	44914546	45013489	WC->CC	2	ERR2265699.mdup	filt-walker
chr14	91591375	91682658	CC->WC	2	ERR2265699.mdup	filt-walker
chr15	61320282	61324898	WC->CC	2	ERR2265699.mdup	filt-walker
chr20	30363667	30422872	WC->WW	2	ERR2265699.mdup	filt-walker
chr20	53268221	53270519	WW->WC	2	ERR2265699.mdup	filt-walker
chr1	30975030	30995011	WC->WW	2	ERR2265700.mdup	filt-walker
chr1	226089341	226119799	WW->WC	2	ERR2265700.mdup	filt-walker
chr2	176397474	176411242	WC->CC	2	ERR2265700.mdup	filt-walker
chr2	186129884	186162900	CC->WC	2	ERR2265700.mdup	filt-walker
chr4	60435142	60482738	WC->WW	2	ERR2265700.mdup	filt-walker
chr4	113504439	113516874	WW->WC	2	ERR2265700.mdup	filt-walker
chr4	177465689	177472328	WC->CC	2	ERR2265700.mdup	filt-walker
chr5	102607749	102615806	WW->WC	2	ERR2265700.mdup	filt-walker
chr5	154010215	154017963	WC->WW	2	ERR2265700.mdup	filt-walker
chr7	128387625	128406562	WW->WC	2	ERR2265700.mdup	filt-walker
chr8	19129128	19141220	CC->WC	2	ERR2265700.mdup	filt-walker
chr8	66996392	67019971	WC->WW	2	ERR2265700.mdup	filt-walker
chr8	89298561	89316696	WW->WC	2	ERR2265700.mdup	filt-walker
chr9	26439071	26450260	WC->CC	2	ERR2265700.mdup	filt-walker
chr9	38747085	38750738	CC->WC	2	ERR2265700.mdup	filt-walker
chr10	69374383	69383824	CC->WC	2	ERR2265700.mdup	filt-walker
chr10	79312544	79325165	WC->WW	2	ERR2265700.mdup	filt-walker
chr10	117841732	117847281	WW->WC	2	ERR2265700.mdup	filt-walker
chr11	42284694	42288629	WC->CC	2	ERR2265700.mdup	filt-walker
chr11	107888780	107900105	CC->WC	2	ERR2265700.mdup	filt-walker
chr14	39878812	39886206	CC->WC	2	ERR2265700.mdup	filt-walker
chr17	31845001	31851017	WW->WC	2	ERR2265700.mdup	filt-walker
chrX	94854829	94862711	WC->WW	2	ERR2265700.mdup	filt-walker
chrX	152045254	152071658	WW->WC	2	ERR2265700.mdup	filt-walker
chr1	22104319	22118172	WC->WW	2	ERR2265701.mdup	filt-walker
chr1	75172810	75183055	WW->WC	2	ERR2265701.mdup	filt-walker
chr1	232542628	232550079	WC->WW	2	ERR2265701.mdup	filt-walker
chr2	34821523	34833739	WC->CC	2	ERR2265701.mdup	filt-walker
chr2	101710421	101719199	CC->WC	2	ERR2265701.mdup	filt-walker
chr2	120394836	120396554	WC->CC	2	ERR2265701.mdup	filt-walker
chr3	82435535	82442297	WC->CC	2	ERR2265701.mdup	filt-walker
chr3	193780110	193780688	CC->WC	2	ERR2265701.mdup	filt-walker
chr4	47956076	48004691	WC->CC	2	ERR2265701.mdup	filt-walker
chr5	28156946	28164696	WW->WC	2	ERR2265701.mdup	filt-walker
chr6	53152665	53156375	WC->WW	2	ERR2265701.mdup	filt-walker
chr7	144374614	144378706	WC->WW	2	ERR2265701.mdup	filt-walker
chr8	22377367	22379356	WW->WC	2	ERR2265701.mdup	filt-walker
chr8	84182582	84186527	WC->WW	2	ERR2265701.mdup	filt-walker
chr9	67919211	68247220	WC->CC	2	ERR2265701.mdup	filt-walker
chr9	86402829	86402938	CC->WC	2	ERR2265701.mdup	filt-walker
chr12	118072090	118073618	WC->WW	2	ERR2265701.mdup	filt-walker
chr13	40627857	40633171	WC->CC	2	ERR2265701.mdup	filt-walker
chr18	60360222	60360614	CC->WC	2	ERR2265701.mdup	filt-walker
chr1	166394025	166407707	WW->WC	2	ERR2265702.mdup	filt-walker
chr2	152597615	152631782	WC->CC	2	ERR2265702.mdup	filt-walker
chr2	214543940	214547784	CC->WC	2	ERR2265702.mdup	filt-walker
chr3	168897466	168948006	WW->WC	2	ERR2265702.mdup	filt-walker
chr4	55393622	55438399	WW->WC	2	ERR2265702.mdup	filt-walker
chr6	29574310	29574403	WC->WW	2	ERR2265702.mdup	filt-walker
chr6	43553627	43684356	WW->WC	2	ERR2265702.mdup	filt-walker
chr7	80004585	80050370	CC->WC	2	ERR2265702.mdup	filt-walker
chr7	99918378	99926008	WC->CC	2	ERR2265702.mdup	filt-walker
chr7	128108223	128109696	CC->WC	2	ERR2265702.mdup	filt-walker
chr8	7332931	7352733	WW->WC	2	ERR2265702.mdup	filt-walker
chr8	99486717	99582290	WC->WW	2	ERR2265702.mdup	filt-walker
chr8	127685338	127713216	WW->WC	2	ERR2265702.mdup	filt-walker
chr11	20040000	20280000	WC->WW	2	ERR2265702.mdup	filt-240k
chr17	10503689	10534318	CC->WC	2	ERR2265702.mdup	filt-walker
chr17	46451832	46494156	WC->CC	2	ERR2265702.mdup	filt-walker
chr18	59132451	59132662	WC->WW	2	ERR2265702.mdup	filt-walker
chr19	14208314	14229659	WC->CC	2	ERR2265702.mdup	filt-walker
chr19	41242207	41275627	CC->WC	2	ERR2265702.mdup	filt-walker
chrX	32666279	32669952	CC->WC	2	ERR2265702.mdup	filt-walker
chrX	125287772	125317157	WC->WW	2	ERR2265702.mdup	filt-walker
chr1	66880942	66913674	CC->WC	2	ERR2265703.mdup	filt-walker
chr1	205236700	205240411	WC->CC	2	ERR2265703.mdup	filt-walker
chr2	30447503	30451369	WW->WC	2	ERR2265703.mdup	filt-walker
chr3	70383784	70386711	WW->WC	2	ERR2265703.mdup	filt-walker
chr4	49711513	50051655	WC->CC	2	ERR2265703.mdup	filt-walker
chr5	35361892	35424269	CC->WC	2	ERR2265703.mdup	filt-walker
chr5	55029843	55065255	WC->WW	2	ERR2265703.mdup	filt-walker
chr6	25190024	25209642	CC->WC	2	ERR2265703.mdup	filt-walker
chr7	29758717	29769437	WW->WC	2	ERR2265703.mdup	filt-walker
chr7	116344108	116390530	WC->CC	2	ERR2265703.mdup	filt-walker
chr10	23607445	23628830	WC->WW	2	ERR2265703.mdup	filt-walker
chr10	41860972	41865882	WW->WC	2	ERR2265703.mdup	filt-walker
chr10	91015102	91041088	WC->WW	2	ERR2265703.mdup	filt-walker
chr1	204145460	204150316	WW->WC	2	ERR2265704.mdup	filt-walker
chr4	24680530	24682932	WC->WW	2	ERR2265704.mdup	filt-walker
chr4	38187425	38225438	WW->WC	2	ERR2265704.mdup	filt-walker
chr5	103184214	103213302	WC->CC	2	ERR2265704.mdup	filt-walker
chr5	129229364	129243340	CC->WC	2	ERR2265704.mdup	filt-walker
chr6	33864467	33867781	WC->WW	2	ERR2265704.mdup	filt-walker
chr6	95477657	95489478	WW->WC	2	ERR2265704.mdup	filt-walker
chr6	155764127	155778444	WC->CC	2	ERR2265704.mdup	filt-walker
chr7	29769853	29775580	WW->WC	2	ERR2265704.mdup	filt-walker
chr7	74004301	74006640	WC->CC	2	ERR2265704.mdup	filt-walker
chr8	136311487	136326880	WC->CC	2	ERR2265704.mdup	filt-walker
chr9	69647388	69657500	WW->WC	2	ERR2265704.mdup	filt-walker
chr12	19784125	19797727	WC->WW	2	ERR2265704.mdup	filt-walker
chr12	28360167	28378110	WW->WC	2	ERR2265704.mdup	filt-walker
chr12	71332065	71337773	WC->WW	2	ERR2265704.mdup	filt-walker
chr17	38614630	38616233	WC->WW	2	ERR2265704.mdup	filt-walker
chr17	43232440	43251674	WW->WC	2	ERR2265704.mdup	filt-walker
chr18	58040000	58240000	WC->CC	2	ERR2265704.mdup	filt-200k
chr19	16322683	16330822	WC->CC	2	ERR2265704.mdup	filt-walker
chrX	13627846	13627959	WC->WW	2	ERR2265704.mdup	filt-walker
chrX	97599717	97610545	WW->WC	2	ERR2265704.mdup	filt-walker
chrX	112865533	112867346	WC->CC	2	ERR2265704.mdup	filt-walker
chrX	140926959	140941542	CC->WC	2	ERR2265704.mdup	filt-walker
chr1	199616539	199627292	WC->CC	2	ERR2265705.mdup	filt-walker
chr1	231647453	231651050	CC->WC	2	ERR2265705.mdup	filt-walker
chr2	151349825	151382453	CC->WC	2	ERR2265705.mdup	filt-walker
chr3	118207000	118218317	CC->WC	2	ERR2265705.mdup	filt-walker
chr4	12629961	12642034	CC->WC	2	ERR2265705.mdup	filt-walker
chr4	128857151	128860810	WC->CC	2	ERR2265705.mdup	filt-walker
chr5	42404535	42405025	CC->WC	2	ERR2265705.mdup	filt-walker
chr6	80462549	80510823	WW->WC	2	ERR2265705.mdup	filt-walker
chr6	144808636	144824771	WC->WW	2	ERR2265705.mdup	filt-walker
chr11	54372698	54544507	WC->WW	2	ERR2265705.mdup	filt-walker
chr12	105000000	105200000	WW->WC	2	ERR2265705.mdup	filt-200k
chr13	32350076	32351021	WC->WW	2	ERR2265705.mdup	filt-walker
chr13	64872161	64880439	WW->WC	2	ERR2265705.mdup	filt-walker
chr17	59699116	59727776	WW->WC	2	ERR2265705.mdup	filt-walker
chr18	74432702	74448181	WC->WW	2	ERR2265705.mdup	filt-walker
chr19	29915413	29927959	CC->WC	2	ERR2265705.mdup	filt-walker
chrX	24234813	24247467	WC->WW	2	ERR2265705.mdup	filt-walker
chr1	98588063	98600731	WC->WW	2	ERR2265706.mdup	filt-walker
chr2	14407364	14418357	WC->CC	2	ERR2265706.mdup	filt-walker
chr2	82165270	82168937	CC->WC	2	ERR2265706.mdup	filt-walker
chr2	130989083	130989106	WC->WW	2	ERR2265706.mdup	filt-walker
chr2	175973195	175981683	WW->WC	2	ERR2265706.mdup	filt-walker
chr3	36283372	36291603	WC->CC	2	ERR2265706.mdup	filt-walker
chr4	113910917	113911359	WW->WC	2	ERR2265706.mdup	filt-walker
chr5	75483445	75507610	WC->WW	2	ERR2265706.mdup	filt-walker
chr5	141845536	141863384	WW->WC	2	ERR2265706.mdup	filt-walker
chr7	13779650	13780683	WC->CC	2	ERR2265706.mdup	filt-walker
chr7	99994969	100008589	CC->WC	2	ERR2265706.mdup	filt-walker
chr7	126377942	126382283	WC->WW	2	ERR2265706.mdup	filt-walker
chr7	145332068	145346231	WW->WC	2	ERR2265706.mdup	filt-walker
chr8	37546961	37547644	WW->WC	2	ERR2265706.mdup	filt-walker
chr8	121394454	121404941	WC->WW	2	ERR2265706.mdup	filt-walker
chr10	86637059	86649684	CC->WC	2	ERR2265706.mdup	filt-walker
chr11	88711035	88725685	CC->WC	2	ERR2265706.mdup	filt-walker
chr12	27382005	27384091	WC->CC	2	ERR2265706.mdup	filt-walker
chr12	103474306	103503504	CC->WC	2	ERR2265706.mdup	filt-walker
chr17	43215624	43312917	WW->WC	2	ERR2265706.mdup	filt-walker
chr19	29413943	29420290	WC->CC	2	ERR2265706.mdup	filt-walker
chr20	12058088	12062704	WC->WW	2	ERR2265706.mdup	filt-walker
chrX	72550275	72550539	WC->CC	2	ERR2265706.mdup	filt-walker
chrX	128687598	128705488	CC->WC	2	ERR2265706.mdup	filt-walker
chr1	15169235	15175049	WC->CC	2	ERR2265707.mdup	filt-walker
chr1	67684336	67698711	CC->WC	2	ERR2265707.mdup	filt-walker
chr2	104039252	104039898	WW->WC	2	ERR2265707.mdup	filt-walker
chr3	102268812	102282622	WC->CC	2	ERR2265707.mdup	filt-walker
chr3	119797344	119804619	CC->WC	2	ERR2265707.mdup	filt-walker
chr5	13345894	13355641	WW->WC	2	ERR2265707.mdup	filt-walker
chr5	80669613	80672872	WC->WW	2	ERR2265707.mdup	filt-walker
chr5	126463151	126471479	WW->WC	2	ERR2265707.mdup	filt-walker
chr6	40452622	40474264	WC->CC	2	ERR2265707.mdup	filt-walker
chr6	99613004	99621356	CC->WC	2	ERR2265707.mdup	filt-walker
chr6	151683205	151696951	WC->CC	2	ERR2265707.mdup	filt-walker
chr8	12581146	12586936	WC->CC	2	ERR2265707.mdup	filt-walker
chr8	29253441	29259548	CC->WC	2	ERR2265707.mdup	filt-walker
chr12	34095678	34101519	WC->WW	2	ERR2265707.mdup	filt-walker
chr12	72800933	72802481	WW->WC	2	ERR2265707.mdup	filt-walker
chr12	102476788	102488714	WC->CC	2	ERR2265707.mdup	filt-walker
chr13	80233834	80245481	WW->WC	2	ERR2265707.mdup	filt-walker
chr19	15297222	15297909	CC->WC	2	ERR2265707.mdup	filt-walker
chr2	75986294	76001889	WC->WW	2	ERR2265708.mdup	filt-walker
chr2	127907292	127909322	WW->WC	2	ERR2265708.mdup	filt-walker
chr3	13980948	13993271	WC->WW	2	ERR2265708.mdup	filt-walker
chr3	62267286	62276020	CC->WC	2	ERR2265708.mdup	filt-walker
chr3	93705576	93735524	WC->CC	2	ERR2265708.mdup	filt-walker
chr5	46430574	46501845	WW->WC	2	ERR2265708.mdup	filt-walker
chr5	111609094	111609796	WC->CC	2	ERR2265708.mdup	filt-walker
chr5	135360077	135366798	CC->WC	2	ERR2265708.mdup	filt-walker
chr6	44763167	44771369	WC->CC	2	ERR2265708.mdup	filt-walker
chr6	66045071	66047038	CC->WC	2	ERR2265708.mdup	filt-walker
chr6	86725697	86725897	WC->CC	2	ERR2265708.mdup	filt-walker
chr7	24858674	24864851	WC->WW	2	ERR2265708.mdup	filt-walker
chr7	91721323	91727944	WW->WC	2	ERR2265708.mdup	filt-walker
chr8	130799525	130808615	WW->WC	2	ERR2265708.mdup	filt-walker
chr9	40591735	40837521	WC->WW	2	ERR2265708.mdup	filt-walker
chr10	83389972	83400472	WC->CC	2	ERR2265708.mdup	filt-walker
chr12	32292646	32310470	CC->WC	2	ERR2265708.mdup	filt-walker
chr12	46332166	46333675	WC->WW	2	ERR2265708.mdup	filt-walker
chr12	74834912	74842611	WW->WC	2	ERR2265708.mdup	filt-walker
chr12	108770256	108774953	WC->WW	2	ERR2265708.mdup	filt-walker
chr14	55418747	55437167	WW->WC	2	ERR2265708.mdup	filt-walker
chr16	57153337	57162216	WW->WC	2	ERR2265708.mdup	filt-walker
chr17	15423352	15433603	WW->WC	2	ERR2265708.mdup	filt-walker
chr17	49596968	49598223	WC->CC	2	ERR2265708.mdup	filt-walker
chr17	70837822	70839087	CC->WC	2	ERR2265708.mdup	filt-walker
chr19	37548526	37557102	WC->WW	2	ERR2265708.mdup	filt-walker
chr19	47206849	47217318	WW->WC	2	ERR2265708.mdup	filt-walker
chrX	53331714	53356054	WC->CC	2	ERR2265708.mdup	filt-walker
chrX	121078685	121078971	CC->WC	2	ERR2265708.mdup	filt-walker
chr1	155210469	155210610	WC->WW	2	ERR2265709.mdup	filt-walker
chr2	59422485	59432570	CC->WC	2	ERR2265709.mdup	filt-walker
chr2	137401340	137418206	WC->WW	2	ERR2265709.mdup	filt-walker
chr4	152904299	152935407	WW->WC	2	ERR2265709.mdup	filt-walker
chr5	114774139	114780974	CC->WC	2	ERR2265709.mdup	filt-walker
chr6	21981433	21983274	WW->WC	2	ERR2265709.mdup	filt-walker
chr6	76255498	76257612	WC->CC	2	ERR2265709.mdup	filt-walker
chr6	134497219	134504280	CC->WC	2	ERR2265709.mdup	filt-walker
chr7	17770876	17770992	WC->CC	2	ERR2265709.mdup	filt-walker
chr8	33144676	33161981	WW->WC	2	ERR2265709.mdup	filt-walker
chr9	65800000	67200000	WC->CC	2	ERR2265709.mdup	filt-1400k
chr9	91933594	91935692	CC->WC	2	ERR2265709.mdup	filt-walker
chr10	47169774	47181246	CC->WC	2	ERR2265709.mdup	filt-walker
chr11	86993258	87016268	WW->WC	2	ERR2265709.mdup	filt-walker
chr12	118259613	118283160	WC->CC	2	ERR2265709.mdup	filt-walker
chr14	38652294	38710782	WW->WC	2	ERR2265709.mdup	filt-walker
chr18	23687764	23691193	WW->WC	2	ERR2265709.mdup	filt-walker
chr20	10536819	10546806	WC->WW	2	ERR2265709.mdup	filt-walker
chr20	20898510	20905993	WW->WC	2	ERR2265709.mdup	filt-walker
chrX	55132956	55134252	WC->CC	2	ERR2265709.mdup	filt-walker
chr1	197342285	197354395	WC->CC	2	ERR2265710.mdup	filt-walker
chr1	225400000	225600000	CC->WC	2	ERR2265710.mdup	filt-200k
chr2	36644097	36646504	WC->CC	2	ERR2265710.mdup	filt-walker
chr3	174204677	174210086	WC->CC	2	ERR2265710.mdup	filt-walker
chr5	128416750	128421591	WC->WW	2	ERR2265710.mdup	filt-walker
chr5	138798295	138822123	WW->WC	2	ERR2265710.mdup	filt-walker
chr6	42474517	42484026	WC->CC	2	ERR2265710.mdup	filt-walker
chr6	56345586	56371633	CC->WC	2	ERR2265710.mdup	filt-walker
chr7	15900715	15905450	WC->CC	2	ERR2265710.mdup	filt-walker
